,Distribute,Modify,Commercial Use,Hold Liable,Include Copyright,Include License,Sublicense,Use Trademark,Private Use,Disclose Source,State Changes,Place Warranty,Include Notice,Include Original,Give Credit,Use Patent Claims,Rename,Relicense,Contact Author,Include Install Instructions,Compensate for Damages,Statically Link,Pay Above Use Threshold
Apache License 2.0___Apache-2.0,can,can,can,cannot,must,must,can,cannot,can,NOmentioned,must,can,must,NOmentioned,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
MIT License___MIT-license,can,can,can,cannot,must,must,can,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Microsoft Public License (MS-PL),can,can,can,cannot,must,must,can,cannot,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
GNU General Public License v2.0 only___GPL-2.0-only,can,can,can,cannot,must,must,cannot,NOmentioned,NOmentioned,must,must,can,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
GNU General Public License v3.0 only___GPL-3.0-only,can,can,can,cannot,must,must,cannot,NOmentioned,NOmentioned,must,must,can,NOmentioned,must,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned
Mozilla Public License 2.0___(MPL-2.0),can,can,can,cannot,must,must,can,cannot,NOmentioned,must,NOmentioned,can,NOmentioned,must,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
GNU Lesser General Public License v2.1 only___LGPL-2.1-only,can,can,can,cannot,must,must,cannot,NOmentioned,NOmentioned,must,must,NOmentioned,must,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
BSD-2-Clause,can,can,can,cannot,must,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
BSD-3-Clause,can,can,can,cannot,must,must,NOmentioned,cannot,NOmentioned,NOmentioned,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
zlib License___Zlib-license,can,can,can,cannot,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
